run_id,exp_type,file_size_mb,scenario,cpu_quota,threads,chunk_kb,duration_s,throughput_mbps,cost_cpu_seconds,efficiency_mb_per_cpus,bytes_downloaded,exit_code
1,anchor_baseline,10,IoT_Weak_BASELINE,1.0,4,1024,0.363,3791.5,0.343616,29.1,10485760,0
2,anchor,10,IoT_Weak,0.5,1,256,376.023,0.22,0.402352,24.85,10485760,0
3,anchor,10,IoT_Weak,0.5,1,1024,427.971,0.2,0.40328,24.8,10485760,0
4,anchor,10,IoT_Weak,0.5,1,4096,394.552,0.21,0.401991,24.88,10485760,0
5,anchor,10,IoT_Weak,0.5,2,256,256.269,0.33,0.41807,23.92,10485760,0
6,anchor,10,IoT_Weak,0.5,2,1024,259.27,0.32,0.416669,24.0,10485760,0
7,anchor,10,IoT_Weak,0.5,2,4096,216.539,0.39,0.431379,23.18,10485760,0
8,anchor,10,IoT_Weak,0.5,4,256,168.027,0.5,0.408134,24.5,10485760,0
9,anchor,10,IoT_Weak,0.5,4,1024,179.127,0.47,0.420958,23.76,10485760,0
10,anchor,10,IoT_Weak,0.5,4,4096,127.907,0.66,0.417724,23.94,10485760,0
11,anchor,10,IoT_Weak,1.0,1,256,384.413,0.22,0.388117,25.77,10485760,0
12,anchor,10,IoT_Weak,1.0,1,1024,492.956,0.17,0.406196,24.62,10485760,0
13,anchor,10,IoT_Weak,1.0,1,4096,474.022,0.18,0.414213,24.14,10485760,0
14,anchor,10,IoT_Weak,1.0,2,256,234.847,0.36,0.406035,24.63,10485760,0
15,anchor,10,IoT_Weak,1.0,2,1024,228.887,0.37,0.410728,24.35,10485760,0
16,anchor,10,IoT_Weak,1.0,2,4096,197.588,0.43,0.402813,24.83,10485760,0
17,anchor,10,IoT_Weak,1.0,4,256,138.399,0.61,0.404225,24.74,10485760,0
18,anchor,10,IoT_Weak,1.0,4,1024,119.068,0.71,0.410461,24.36,10485760,0
19,anchor,10,IoT_Weak,1.0,4,4096,118.42,0.71,0.401981,24.88,10485760,0
20,anchor,10,IoT_Weak,2.0,1,256,495.692,0.17,0.400177,24.99,10485760,0
21,anchor,10,IoT_Weak,2.0,1,1024,466.431,0.18,0.405368,24.67,10485760,0
22,anchor,10,IoT_Weak,2.0,1,4096,459.456,0.18,0.400362,24.98,10485760,0
23,anchor,10,IoT_Weak,2.0,2,256,219.883,0.38,0.396888,25.2,10485760,0
24,anchor,10,IoT_Weak,2.0,2,1024,244.969,0.34,0.409969,24.39,10485760,0
25,anchor,10,IoT_Weak,2.0,2,4096,215.587,0.39,0.41371,24.17,10485760,0
26,anchor,10,IoT_Weak,2.0,4,256,121.549,0.69,0.404342,24.73,10485760,0
27,anchor,10,IoT_Weak,2.0,4,1024,142.191,0.59,0.408844,24.46,10485760,0
