image_name,total_size_mb,layer_count,avg_layer_entropy,text_ratio,zero_ratio
quay.io/centos/centos:stream9,164.32,1,0.8134,0.506,0.1761
fedora:latest,177.59,1,0.7952,0.4892,0.2009
ubuntu:latest,76.88,1,0.6829,0.2871,0.3451
mongo:latest,877.22,8,0.7695,0.3423,0.2606
mysql:latest,909.34,10,0.6559,0.2499,0.4042
postgres:latest,441.71,13,0.7425,0.3664,0.2767
rust:latest,1586.69,5,0.7486,0.3847,0.2452
ruby:latest,1084.17,7,0.7405,0.4238,0.2559
python:latest,1087.31,7,0.7345,0.4213,0.2666
nginx:latest,148.31,7,0.7322,0.3194,0.2844
httpd:latest,114.62,6,0.7255,0.3249,0.2974
rabbitmq:latest,232.49,9,0.7007,0.2993,0.3395
wordpress:latest,714.72,24,0.7505,0.4498,0.2223
nextcloud:latest,1420.38,23,0.6865,0.6816,0.1662
gradle:latest,719.04,10,0.8683,0.4067,0.1371
node:latest,1102.93,8,0.7518,0.3974,0.2499
